id;title;text;rating;fk_User_Id;fk_Product_Id
27;;Delicious. I hate all the other flavors but this one tastes great. Now if I can only find it in the store.;5.0;27;24
28;Who Can Say No To Awesome $5 Wine;This wine is amazing! Im an avid wine drinker (mom life) and Ill continue to buy this for sure. For 5 its a steal! Keep this around please, its just another reason to love target!;5.0;28;25
29;Good Wine For Beginners...;Love it that its not too dry or overly sweet. Also has a good balance of alcohol.;5.0;;26
30;Fantastic Wine;This wine was sooooo good. I usually dont like Cabernet but this special fermented wine is very tasty. It did not stay around too long.LOL.;5.0;30;27
31;The Cube Riesling;Some of the best boxed wine I have ever tasted. Great taste and great value.;5.0;31;28
32;Perfect For Summer;Love this Moscato and will be purchasing more on my next Target run. Let it chill in the fridge and enjoy on a hot summer day.;5.0;32;29
33;We Loved It!;Had my sissies (sistafriends) over for dinner/planning meeting....and theyre still talking about the loving fellowship and the great wine! I hope the store has more than 1 bottle left on its shelves!!!;4.0;33;30
34;Yum!;Great fruity dry rose!;5.0;34;31
35;An Outstanding Table Wine;Is this the greatest wine in the world, of course not. It is an eminently drinkable wine,as a matter of fact it is my preferred, and go to, table wine. Wine is a personal thing but for me it is my 1 pick in the under 10 category. It is well balanced, subtle, and very easy to sip. Dry without being overpowering. It is not a big bad Cabernet but it is not that in a good way. Goes great by itself or paired with cheese or a dish sauced with something heavier like a bernaise. I always have a bottle on my shelf.;5.0;35;32
36;New Go To White;Delicious white wine! Light, crisp, not too sweet. Almost too good.;5.0;36;33
37;No No No No No.... No;Just bad wine. The worst I have ever had. Try Bota Box Sarah is you are looking for a decent boxed wine.;1.0;37;34
38;Love This Love Noir;I am no wine expert by any means, but I love a good red for dinner or a cold night. This is the ticket. Rich, dark, fruity! Just lovely. The hubby liked it too!;5.0;38;35
39;Best Wine I Ever Tasted;Best wine I ever tasted;5.0;39;36
40;Excellent Chardonnay;not fruity, very satisfying. my go to chardonnay! excellent product - would expect to pay 10 / bottle for this quality;5.0;40;37
41;Vintners Red Boxed Wine;Picked some up on a trip to the beach as they are portable non breakable and priced right! I didnt know what to expect, honestly, my expectations were not too high, being boxed wine and all. I was pleasantly surprised! It is very drinkable delicious! When I got home I returned to Target to get the large wine cube box for at home enjoyment!;5.0;41;38
42;Great Sauvignon Blanc Even Compared To Medium-Priced Bottles;By far the best boxed wine Ive found, and comparable to medium-priced bottled sauvignon blancs. A great buy.;5.0;42;39
43;Great Sauvignon Blanc Even Compared To Medium-priced Bottles;By far the best boxed wine Ive found, and comparable to medium-priced bottled sauvignon blancs. A great buy.;5.0;42;39
44;;Taste was absolutely fine for a 5 Chardonnay. However, BOTH bottles broke while removing the corkscrew. Second break was far enough I didnt want to risk drinking it because of risk of glass shards. Ive bought cheaper wines like yellowtail, etc, and NEVER experienced a bottle breaking.;2.0;44;40
45;Great Wine For The Price.;I didnt find this to be sweet at all, but everyones taste differs. I usually dont like sweet wines so I gravitate towards Chardonnay and some Sauvignon Blancs and I felt like this one had more of a buttery taste than a sweet citrusy taste like another reviewer stated. For the price, this is definitely a keeper.;4.0;45;40
46;Love It!;My boyfriend brought this home on a whim. We were delighted at how tasty it was. Lasted us a couple weeks - even better!;5.0;46;41
47;Delicious!;I love Disaronno. It has a smooth texture and the flavor is lightly sweet. Its decadent on the rocks or with a little cream.;4.0;47;42
48;Great For The Price;Im surprised how good this is for the price! Tastes more like Sauvignon blanc to me...;5.0;48;43
49;;Nice, light wine - I was not sure what to expect but was surprised how well it tasted for a 5 bottle.;5.0;49;44
50;Pretty Good For Wine In A Box!;For as much as we drink white wine, I needed to find a budget bottle. Wed been doing 6-7 dollar bottles, but this beats that. And its pretty good! You wont impress anyone with this, but for a Monday-Thursday, home and on a budget drinking, this is good.;4.0;50;45
51;This Wine Made My Party!;I served this and all the different varieties at a party. My guests and I loved them all. Since I am not a wine expert, I will simply give you some of the notes on this variety from the Fancy Pants website: ...a robust and rich palate with ripe berries, red fruit, and toasty oak flavors. Cherries and vanilla spice on the mouth lead to a long, lingering finish.;5.0;10;46
52;Tried The Past Type & Its My Favorite So This Should Be Great!;I tried Beringer, who makes this, Pink Moscato, had no trouble opening it up with a Corkscrew, one which I just bought from Target in-store, really like its sweet, fruity flavor pink looking wine. I plan to stock up for the Holidays.;5.0;52;47
53;A Scrumptious Red!;If you like a fruit forward blend of reds with a very smooth finish and jammy taste, you will love this! I think my 9 year search for my favorite red wine has ended!;5.0;53;48
54;Refreshing Rose!;This is a dry Rose, not sweet at all which is perfect for summer!;5.0;54;49
55;Favorite Rosé;A wonderful dry wine, and the taste is just divine!;5.0;55;50
56;Favorite Ros��;A wonderful dry wine, and the taste is just divine!;5.0;55;50
57;Now Thats Cider;Been looking for Strongbow in the US for years;5.0;57;51
58;Refreshing;Refreshing, nice grapefruit flavor. Not for people that dislike seltzer water. Its good out of the can or poured over ice.;5.0;58;52
59;Here Are The Reasons I Like Truly;IT IS NOT SWEET,AND I LIKE THAT. IF YOU LIKE THE TASTE OF SPARKLING WATER WITH THE BENEFIT OF 5 ALCOHOL. THIS IS FOR YOU.;5.0;59;53
60;Best Cabernet Ive Ever Tasted, Simple As That.;Best Cabernet Ive ever tasted, simple as that.;5.0;60;54
61;I Love It!;so refreshing! LOVEIT!;5.0;61;55
62;Deliciously Tangy;This Cayman Jack margarita is really good. I found it in a Southern California Target, but I cant find it in Northern California stores. :(;5.0;62;56
63;Decent Beer For A Good Price;I expected this beer to be on the bitter side the first time I tried it, but I still enjoyed its smooth taste. Id definitely buy it if I get a chance.;4.0;63;57
64;Looked like a linear regulator from outside and no reviews on ...;Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality.;5.0;64;58
65;Luv This Wine;I love sparkling wine, but I find that most brands are sweet. Im aging and no longer want the sweet stufd. This is medium body wine with strong bubbles (I love bubbles ) . The alcohol content offers a nice buzz fairly quickly. So ecstatic I found this brand and Target carries it.;5.0;65;59
66;;I served this at my baby shower and everyone went crazy over it. Its an inexpensive gem.;5.0;66;60
67;delicious;This wine is full-bodied and delicious.;5.0;67;61
68;Great wine for price;Super wine with fruity taste. As a regular wine drinker this is our routine wine of choice. Priced right with good taste.;4.0;68;62
69;Not worth the money!;Had a taste of either being old or spoiled. Stick with the bottle.;1.0;69;62
70;Nice Red;This is our go-to wine for dinner parties. Better than most of the 10 bottles.;5.0;70;62
71;Always Have Jb Original On Hand;I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).;5.0;71;63
72;Yumm;It goes great in apple cider;5.0;72;63
73;Always Consistent;Consistent flavor and quality. JB with Dr. Pepper is surprisingly tasty. I highly recommend it. Love your commercials, too. Mila is doing you proud. Keep up the good work.;5.0;73;63
74;"A Drink That Stands Out; And Smooth As Well...";A true classic of spirits...;5.0;74;63
75;Perfect & Versatile;I love this Bourbon as it is always my first choice when its time to unwind. Whether its Neat, On Rocks, With a Coke or Ginger Ale, or my Grandpas Whiskey Sour, nothing tops Jim Beam!!!! Nothing!!!;5.0;75;63
76;It is the first drink I check everytime;The white label or the devils cut dashed with some lemonade and lime cordial is how I enjoy my Jim.;5.0;76;63
77;Yes I would buy again;Best Drink you can get;5.0;77;63
78;very reasonally priced;to make manhattens;4.0;78;63
79;One fine bourbon;Best bourbon I have found...have toured distillery and love the brand..;5.0;79;63
80;Red Stag stands alone;Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !;5.0;80;63
81;Good taste;I like it with dr.peper to sip and relax;5.0;81;63
82;The only whiskey I drink;Better than the others;5.0;82;63
83;Priced right and great quality;Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.;5.0;83;63
84;Best bourbon on earth.;I keep Jim Beam on hand every day of the week.;5.0;84;63
85;A Bourbon Legend;I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT;5.0;85;63
86;I would buy this drink over and over.;Its does have a great toaste to it the only drink Ill drink.;5.0;86;63
87;Smooth;I had a neat 2 finger glass two weeks ago of JB Black label for the first time (Ive always drank Jack Daniels) and I loved it! No more Jack for me!;5.0;87;63
88;smoothy;Best tasteing and defenetly the smoothest around I love it!;5.0;88;63
89;Always in my liquor cabinet;I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.;5.0;89;63
90;Best price;This is our favorite mixed drink whiskey and sams has the best price on a handle. Well be buying this again;5.0;90;63
91;Great product;Best whiskey around and a price that cant be beat!!;5.0;91;63
92;Very Reasonally Priced;to make manhattens;4.0;92;63
93;One Fine Bourbon;Best bourbon I have found...have toured distillery and love the brand..;5.0;79;63
94;It Is A Good Wine;I drink Yellow Tail because you can not buy a perfect wine for the price of this one, I JUST LOVE IT!!!!!!;5.0;94;64
95;Love;I always buy this item at Walmart cause they always have it at a Great Price;5.0;95;65
96;Awesome Bourbon;As a Scotch drinker, tasting Basil Haydens for the first time changed my opinion of Bourbons. Now I enjoy both Scotch Bourbon with BH on the top of list for Bourbons!;5.0;96;66
97;Love Basil Haydens;Very tasty bourbon!;5.0;97;66
98;Flavorful With A Smooth Finish;Basil Hayden was my gateway to world of Burbon. Ever since I have held its flavor profile as the gold standard when trying others on the market bit I always find myself coming back to my first love.;5.0;98;66
99;Spirit Of Choice;Outstanding. Simply an outstanding beverage. Spicy and light with a comforting finish. A staple in my home bar rotation - I never let a bottle get near empty without backfilling it with a fresh one.;5.0;99;66
100;Cooks Champagne;I love the Cooks champagne however I cannot drink the brut. Would love Extra dry to become available at Sams in Mobile AL.;5.0;100;67
101;Very Drinkable;My favorite red wine has been Menage a Trois for a long time, and this SILK blend is even better than the regular blend. The price has remained affordable while the quality has remained consistently good for these red blends.;5.0;101;68
102;My Favourite Riesling;My mother turned me on to Barefoot Riesling a few years back and it had been a reflex to always choose it when given the option.;5.0;102;69
103;Love;Been trying to find a red wine with a smooth finish. This stuff is exactly what I was looking for.;5.0;103;70
104;Excellente;Perfect sipping tequila ... chilled and neat !;5.0;104;71
105;Excellente;Perfect sipping tequila ... chilled and neat !;5.0;105;71
106;Solid tequila;My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe Im drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if youre looking.;5.0;106;71
107;One of my favorite!;Straight over ice.;5.0;107;71
108;Amazing Drink;My drink of choice when I really want to enjoy my time alone.;5.0;108;72
109;Makes The Best Jello Shots Ever!!;Makes orange jello taste like creamsicle, strawberry taste like strawberries and cream, lemon taste like lemon meringue....I could go on and on....get some today!!;5.0;109;72
110;"""the Best Jerry, The Best""";Pinnacle has been making our Martinis in my family for many years. My late father discovered it years ago when someone said its on par with that vodka that flys south for the winter, but at a very reasonable price. Try it, bet youll love it too. Al;5.0;110;72
111;Pinnacle Whipped Bodka;The whipped creme flavored vodka is fabulous. I keep it in the freezer and have a snifter of it when I want something smooth after dinner or as a night cap. Love it!;5.0;111;72
112;Love this product!;Everything is great about this product, cheap price, perfect taste. Mixing this flavor with just a soda makes it delicious.;5.0;112;72
113;I Love This Stuff !!!!;I love this vodka, I have been drinking vodka for many years, and this is by far one of the best, and my favorite vodka. I drink it regularly, usually with grape juice, but also with orange juice. We use it to make daiquiris, and many other frozen concoctions.;5.0;113;72
114;So So;Just so so. Seems to be missing something. There are much better margarita mixes out there without all the additives this does not have.;2.0;114;73
115;Smooth And Fruity.;Very good summer red. Its become our favorite reasonably priced wine that we enjoy on its own.;4.0;115;74
116;seagrams escapes;love all of the flavors. will be buying again. great for summer drinks;5.0;116;75
117;Variety Value;I bought this pack on a whim and Im so glad I did. There is a variety of drinks for a great price, even less than the discount liquor store! Ill definitely get this again!;4.0;117;75
118;Line;Vrty good;5.0;118;75
119;Enjoy there flavors;Jamaican me happy;4.0;119;75
120;Tasty if you can find it;Really enjoy these but SAMs likes to send you on wild goose chases saying available and none to be found not even the empty pallet;5.0;120;75
121;Best Red Blend for the price;We have been buying Apothic Dark for a couple of years now. It is our Red Blend of Choice. Very Smooth and very reasonably priced.;5.0;121;76
122;pretty good;Decent table wine for the price. Bend that is on the sweeter side of the spectrum.;3.0;122;76
123;Very popular;Rum Chata is great when mixed with Fireball or Caramel Vodka;5.0;123;77
124;Love The Cucumber Chili, Wish It Wasnt Discontinued.;Love this brand of tequila. Im a Margarita fan and like to make different kinds;5.0;124;78
125;Beer;love it wouldnt mind drinking more;5.0;125;79
126;Good, Cheap, Summer Lake Beer;On a hot day near the water, this is the cheap-ish beer to have. Bud light with a solid splash of lime, makes it a light and refreshing choice. The Target 12-pack is average-priced and will provide a beverage most will enjoy - particularly the ladies.;4.0;126;80
127;This Is Great!;Love this vodka - its perfect for screwdrivers! It blends so well with the juice and for an interesting citrus blend, you can use grapefruit juice.;5.0;127;81
128;One of our favorites;Weve been drinking this wine for a while. Its one of a group we buy regularly because its a good wine at an affordable price.;5.0;128;82
129;Like an old friend;Never disappointed, constant taste.;4.0;129;82
130;A hidden gem;A delicious blended wine ... give it a try, you might be surprised;5.0;130;82
131;Best Reisling!;This is by far the best reisling Ive ever had! LOVE it! Always consistent in flavor and my go to!;5.0;131;83
132;Delicious;Great Taste dont forget a slice of orage on the side!;5.0;132;84
133;Yum!;Very fruity. Smooth. I like it straight over ice with a bit of Chambord.;5.0;133;85
134;Bitter Acrid Terrible Tea;Tastes absolutley nothing like Chinese restaurant tea... not even similar. Its absolutley horrible, bitter and acrid. With shipping I paid 50 cents per bag... what an amazing rip off. You can go to a local Oriental store and get this kind of stuff for 2 cents per bag... and it would probably taste better.;;134;86
135;Very good tea.....;I dont know why some people wrote bad reviews about this tea. It is just like the tea Ive grown up with that I had in Chinese Restaurants. The only complaint I have is that I found the same tea while visiting an Asian store out of town and it was only 2.00 per box while this one was more than double plus a 2.99 shipping fee. I knocked the rating down one star because of the outrageous price this seller charges.;;135;86
136;Loving It;Had a cup of this tea and it was like reliving the past. Always drank this blend at a small Chinese Resturant in Queens, NY. After my first sip I felt like I was back thier enjoying a big pot of tea. Smooth and Relaxing, great blend and will be ordering more soon.;;136;86
137;Great tea!!;Yes! this IS just like the Chinese restaurant tea. I used to receive a tea bag or two from my favorite Chinese take out, but nobody does that anymore. Id save my teabag for the next day to drink with the leftovers, to enhance the leftovers. Now, I can enjoy this tea anytime. This is a refreshing tea that does not make one feel as if we should be adding milk and/or eating some cookies or cakes with it. This tea can stand alone and refresh the inner soul. I drink it with just a pinch of sugar.;;137;86
138;Fantastic Tea;I gave this to my husband for christmas and he loves it. Says it smells good, it has a nice flavor and a smooth texture, just like the tea you are served in Chinese Restaurants :);;138;86
139;Tasty blend of green, jasmine and oolong tea. Hard to find in stores where I live.;I really like this tea and have bought it many times. The blend called Chinese Restaurant Tea is a blend of green, oolong and jasmine. It doesnt contain ginseng or black tea, which might explain why some people dont like it. (Black tea is more common and smoother tasting than green, which can be grassy or sharp tasting.) It does taste like the teas I have had at better Asian restaurants. (Some of the cheapo ones dont even serve tea any more.)I like the packaging and the name. Kind of quirky, stripped down and charming to my mind. It is hard for me to find this tea in stores. I called the company and they said it was only available in certain regions. (My store had carried it but stopped apparently due to this regional issue -- no longer available in our part of PA.) It was much cheaper in the store than it is on-line but I am just glad to have found it! Thanks for carrying it, Amazon and friends!;;139;86
140;ILOVETHISTEA;Really, thats all I have to say. I have ordered this tea several times. Tastes EXACTLY like the Chinese tea that you can find in any major Chinese restaurant.;;140;86
141;Good taste, but is it real Ginseng;I really like the taste of the tea, especially cold. Its a green tea mixed with Ginseng, and theyve added licorice root to perhaps sweeten the tea. I dont even add any sugar or honey to it, the taste is that good. My only complaint is that the box claims it is 100 natural, but I wish they would disclose the amount and type of Ginseng. I bought this tea because of the Ginseng, so it would be nice if they disclosed what type of Ginseng and what concentration of it is in the tea itself. Since this is a pretty inexpensive tea, Im guessing its a cheap low-quality Ginseng, but like I said, it is tasty. Another nice benefit of this tea is that you can just drop the tea bag into a glass of room temperature water and drink it that way, its very tasty this way! You dont have to steep or brew it with hot water, so it makes it a nice drinkable tea year round.;;141;86
142;Good taste And Good tea;I like all ingredients in this tea: Green tea, Licorice root and Ginseng. Specially Licorice root can relieve a spasmodic cough and test like Mint;;142;86
143;Good stuff;We like this brand especially when we make stir fry. Cant find it in the grocery stores any longer and was happy I could find it on line.;;143;86
144;Great Taste And Great Value!;This is my favorite Riesling. When I spotted it on sale for 9.99 a bottle I was delighted. I usually pay around 12.99 at other locations. Buying two bottles saved me six dollars, Thanks Target.;5.0;144;87
145;Leinenkugels Sunset Wheat;Refreshing taste of beer especially for summer, citrus combined w/ blueberry.;5.0;145;88
146;Right On Target, Great After A Busy Day;Right on Target - Sierra Nevada Torpedo Ale has outstanding character, warm, subtle hints of fruit and a strong but not overly bitter hop aftertaste. It is excellent after a hard days work to kick back and relax. Target recently began carrying beer and I could not be more enthused! ...;5.0;146;89
147;Excellent IPA;Best beer for the money. Wish the club in Omaha would carry it again. Any idea if any club carries it;5.0;147;89
148;Best beer out of Colorado;Battle ground walmart is to high priced to surrounding stores;5.0;148;90
149;Smirnoff Is Better Than;Any alcohol beverage;5.0;149;91
150;Always Have Jb Original On Hand;I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).;5.0;71;92
151;"""awesome""";My momma LOVES this stuff....!! Its the taste that will rockur socks off!!;5.0;151;92
152;Yumm;It goes great in apple cider;5.0;72;92
153;"A Drink That Stands Out; And Smooth As Well...";A true classic of spirits...;5.0;74;92
154;It is the first drink I check everytime;The white label or the devils cut dashed with some lemonade and lime cordial is how I enjoy my Jim.;5.0;76;92
155;Yes I would buy again;Best Drink you can get;5.0;77;92
156;very reasonally priced;to make manhattens;4.0;78;92
157;One fine bourbon;Best bourbon I have found...have toured distillery and love the brand..;5.0;79;92
158;Red Stag stands alone;Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !;5.0;80;92
159;Good taste;I like it with dr.peper to sip and relax;5.0;81;92
160;The only whiskey I drink;Better than the others;5.0;82;92
161;Priced right and great quality;Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.;5.0;83;92
162;Best bourbon on earth.;I keep Jim Beam on hand every day of the week.;5.0;84;92
163;A Bourbon Legend;I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT;5.0;85;92
164;I would buy this drink over and over.;Its does have a great toaste to it the only drink Ill drink.;5.0;86;92
165;Smooth;I had a neat 2 finger glass two weeks ago of JB Black label for the first time (Ive always drank Jack Daniels) and I loved it! No more Jack for me!;5.0;87;92
166;smoothy;Best tasteing and defenetly the smoothest around I love it!;5.0;88;92
167;Always in my liquor cabinet;I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.;5.0;89;92
168;Very Reasonally Priced;to make manhattens;4.0;92;92
169;One Fine Bourbon;Best bourbon I have found...have toured distillery and love the brand..;5.0;79;92
170;Great value;Very good Cabernet Sauvignon for the money. More in line with wines typically in the 20 range.;4.0;170;93
171;Goto;This has become our goto wine!! Not terribly expensive - just terribly GOOD!;5.0;171;93
172;Good Deal;I like a good price-quality deal for Heineken Lager. My fav easy-going beer. I prefer bottled on and I like to drink it from glasses.;5.0;172;94
173;Fresh and cheap;It was very fresh and cheaper than anywhere in the area.;5.0;173;94
174;Great beer!;I bought this, best price and great convenience to order online, pick up in store. Great job! Super easy;5.0;174;94
175;a crowd pleaer;Made our party special. Everyone was pleased with our choice of drinks.;5.0;175;94
176;Black Cherry Tasty;TASTE DRINK;5.0;176;95
177;.tastiest Of Tasties.;This is by far the best flavored vodka on the market. I drink it with soda water the flavor is crisp. Not sweet or thick at all.;5.0;177;95
178;I wouldnt buy it again;Its really smooth but the taste isnt so good. More on the cough syrup side than black cherry and vanilla. It was a waste of money. The green apple and blood orange are the best ones .;1.0;178;95
179;I Wouldnt Buy It Again;Its really smooth but the taste isnt so good. More on the cough syrup side than black cherry and vanilla. It was a waste of money. The green apple and blood orange are the best ones .;1.0;179;95
180;I Like The Smooth Taste Good Finish;I use with blue agave light golden syrup an one lime over ice with gold sauza tequila perfect drink!!!;5.0;180;96
181;I like the smooth taste good finish;I use with blue agave light golden syrup an one lime over ice with gold sauza tequila perfect drink!!!;5.0;181;96
182;Nice, Fresh, Tasty With Character;Starborough was a surprise as an alternate to Fume Blanc or Grigio wines. This is a soft and above average tasty white wine. Citrus Aroma, gracious acidity, layered texture is enough to satisfy Chardonnay as an alternate crisp finish and a nice experience.;4.0;182;97
183;The Best Tasting Burbon Ive Come To Love The Most!!;No matter how many different whiskeys there is, not a one, so far, has been able to resist my taste for the LOVE 0f JIM BEAM!!;5.0;151;98
184;Yes, Yes;your product is the smoothest going down, and make great gifts;5.0;184;98
185;I Love All Jim Beam Products, Really Enjoy The Smoothness.;I use Jim Beam to make alot of different kinds of marinades and sauces. I make a honey bourbon marinade for smoking jerky that tastes amazing. Everyone says its the best jerky theyve ever had. Thanks for making the best bourbon on the market Jim Beam!;5.0;185;98
186;Smooth;Wife and I enjoy it mixed with a Coke or a Monster Black Cherry. Excellent.;5.0;23;98
187;I Love This Stuff;This is my favorite bourbon. I even love its aroma. It has that nice vanilla scent going on. I never get tired of Jim Beam Black.;5.0;187;98
188;Magnificent oak flavor!;Im a single malt Scotch guy. I generally have two fingers neat with a quality cigar about once a week. On a stressful day, Ill have a couple of beers or so after work before the family gets home. The trouble is the beer gut that comes with that trend. I was looking for something similar to my favorite Scotch, which is a little out of my budget to drink daily. Jim Beam Black is an awesome substitute with the rich white oak aroma and flavor. It isnt near as smooth as my favorite Scotch, but the flavor is on point. Thank you Jim Beam for putting this great whiskey out there at an affordable price. Youve got a customer for life!;5.0;188;98
189;My favorite bourbon!;Exceptionally good flavor!;5.0;189;98
190;Top Choice Every Time!;No matter where I go after years of various bourbon tastings....Jim Beam Black is head and shoulders above the rest no matter what the price tag!;5.0;190;98
191;Good Job;Im personally a wild turkey drinker. But cudos to Jim beam for producing such a classy commercial. Got the right girl to be their spokesperson. Good job. Very classy.;5.0;191;98
192;When you want to experience perfection, look no further!;Seriously You ask whats great about it What isnt great about it;5.0;192;98
193;What bourbon should be.;No explanation necessary.;5.0;193;98
194;I love Jim Bean;I first started drinking Jim Bean when i went camping. I didnt want to carry the bear around so i tried jim bean. My first was Red Stag Cherry. Than i tried devils cut when i came home. I have been hooked ever since. I usually mix with coke or dr.pepper.;5.0;194;98
